City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hovd,MN,48.0056,91.6419,66.04,30,100,7.23,overcast clouds
1,Cherlak,RU,54.155,74.8055,57.36,80,66,9.8,broken clouds
2,Hobart,AU,-42.8794,147.3294,43.27,94,64,11.5,broken clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,58,75,11.5,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,72.54,66,13,4.85,few clouds
5,Flin Flon,CA,54.7682,-101.865,60.64,72,100,11.5,overcast clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,53.1,77,100,5.75,overcast clouds
7,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,18.41,few clouds
8,Harper,LR,4.375,-7.7169,76.44,87,100,10.29,overcast clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,75,8.01,broken clouds
10,Esperance,AU,-33.8667,121.9,59.34,85,0,13.6,clear sky
11,Busselton,AU,-33.65,115.3333,65.39,72,97,20.74,overcast clouds
12,Ola,RU,59.5833,151.2833,44.15,96,100,1.95,light rain
13,Ilulissat,GL,69.2167,-51.1,45.45,52,100,9.71,overcast clouds
14,Tarauaca,BR,-8.1614,-70.7656,85.3,57,76,2.15,broken clouds
15,Vardo,NO,70.3705,31.1107,40.98,87,100,14.97,overcast clouds
16,Kayerkan,RU,69.3497,87.7602,57.52,100,93,1.97,overcast clouds
17,Cedar City,US,37.6775,-113.0619,88.39,6,0,15.95,clear sky
18,Muros,ES,42.7762,-9.0603,71.1,89,88,6.87,overcast clouds
19,Upernavik,GL,72.7868,-56.1549,35.44,71,0,8.23,clear sky
20,Luderitz,NA,-26.6481,15.1594,59.22,49,4,10.36,clear sky
21,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,64,0,10.36,clear sky
22,Dikson,RU,73.5069,80.5464,33.85,99,98,8.05,overcast clouds
23,Bethel,US,41.3712,-73.414,70.65,81,100,9.22,overcast clouds
24,Muzhi,RU,65.3667,64.6667,56.34,56,14,5.1,few clouds
25,Hilo,US,19.7297,-155.09,77.61,100,100,4.61,moderate rain
26,Sitka,US,57.0531,-135.33,71.44,43,6,4.09,clear sky
27,Thompson,CA,55.7435,-97.8558,51.96,82,100,20.71,light intensity drizzle
28,Pahalgam,IN,34.0333,75.3333,54.41,78,98,3.0,overcast clouds
29,Lavrentiya,RU,65.5833,-171.0,39.69,89,78,14.18,broken clouds
30,Lasa,IT,46.6166,10.7002,72.48,82,27,6.38,scattered clouds
31,Albany,US,42.6001,-73.9662,76.73,72,91,9.98,overcast clouds
32,Fonte Boa,BR,-2.4959,-66.2662,81.41,81,38,1.77,scattered clouds
33,Murray Bridge,AU,-35.1167,139.2667,55.13,67,96,3.42,overcast clouds
34,Mataura,NZ,-46.1927,168.8643,35.47,95,69,2.28,broken clouds
35,Ossora,RU,59.2353,163.0719,46.17,85,100,6.64,overcast clouds
36,Chokurdakh,RU,70.6333,147.9167,46.58,59,99,9.42,overcast clouds
37,Port Lincoln,AU,-34.7333,135.8667,53.4,71,4,3.85,clear sky
38,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,13,5.64,few clouds
39,Macomb,US,40.4592,-90.6718,94.62,56,0,12.66,clear sky
40,Ushuaia,AR,-54.8,-68.3,33.46,86,40,18.41,scattered clouds
41,Nanortalik,GL,60.1432,-45.2371,39.65,80,23,3.27,few clouds
42,Nikolskoye,RU,59.7035,30.7861,56.88,76,100,8.79,overcast clouds
43,Caraguatatuba,BR,-23.6338,-45.4899,67.42,82,2,1.66,clear sky
44,Axim,GH,4.8699,-2.2405,75.04,89,100,12.68,moderate rain
45,Kodiak,US,57.79,-152.4072,53.11,82,100,6.91,overcast clouds
46,Punta Arenas,CL,-53.15,-70.9167,39.31,52,20,19.57,few clouds
47,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,73,75,13.8,broken clouds
48,Friesoythe,DE,53.0167,7.85,66.4,78,100,4.83,overcast clouds
49,Omboue,GA,-1.5746,9.2618,72.48,85,13,7.14,few clouds
50,Kaili,ID,-3.4626,120.2147,65.68,96,92,3.02,overcast clouds
51,Hermanus,ZA,-34.4187,19.2345,51.8,53,43,8.01,scattered clouds
52,Nelson Bay,AU,-32.7167,152.15,51.01,91,4,13.35,clear sky
53,Puerto Leguizamo,CO,-0.1934,-74.7819,79.93,71,99,3.11,overcast clouds
54,Merauke,ID,-8.4667,140.3333,77.79,89,24,12.84,few clouds
55,Mahebourg,MU,-20.4081,57.7,73.69,73,20,11.5,few clouds
56,Cabo San Lucas,MX,22.8909,-109.9124,94.6,63,81,4.56,broken clouds
57,Avera,US,33.194,-82.5271,96.39,31,1,8.1,clear sky
58,Formosa,AR,-26.1775,-58.1781,82.38,54,0,17.27,clear sky
59,Trinidad,BO,-14.8333,-64.9,87.78,51,40,11.5,scattered clouds
60,Kahului,US,20.8947,-156.47,79.97,85,20,14.0,few clouds
61,Yellowknife,CA,62.456,-114.3525,54.12,66,75,8.05,light intensity shower rain
62,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,28,10.07,light rain
63,Kapoeta,SS,4.7717,33.5903,81.48,41,11,6.78,few clouds
64,Barrow,US,71.2906,-156.7887,48.69,61,0,6.78,clear sky
65,Atar,MR,20.5169,-13.0499,102.61,10,2,11.01,clear sky
66,Qaanaaq,GL,77.484,-69.3632,36.09,78,9,2.68,clear sky
67,Tommot,RU,58.9564,126.2925,53.92,83,65,1.3,broken clouds
68,Touros,BR,-5.1989,-35.4608,78.91,69,13,10.6,few clouds
69,Khatanga,RU,71.9667,102.5,65.07,35,100,15.28,overcast clouds
70,Te Anau,NZ,-45.4167,167.7167,39.7,93,80,1.74,broken clouds
71,La Ronge,CA,55.1001,-105.2842,59.25,77,100,11.5,overcast clouds
72,Santo Antonio Do Ica,BR,-3.1022,-67.9397,82.15,79,93,0.96,light rain
73,Hamilton,US,39.1834,-84.5333,92.88,59,41,7.0,scattered clouds
74,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,20,11.5,few clouds
75,Mitchell,US,43.7094,-98.0298,81.1,40,0,20.71,clear sky
76,Slavsk,RU,55.0425,21.677,53.29,95,100,4.9,overcast clouds
77,Irtyshskiy,RU,58.3333,68.1333,55.76,82,21,6.38,few clouds
78,Severo-Kurilsk,RU,50.6789,156.125,48.02,83,97,5.08,overcast clouds
79,Bredasdorp,ZA,-34.5322,20.0403,50.25,54,60,4.5,broken clouds
80,Namibe,AO,-15.1961,12.1522,64.08,83,1,5.14,clear sky
81,Loiza,PR,18.4313,-65.8802,86.45,72,40,8.05,haze
82,Hualmay,PE,-11.0964,-77.6139,66.51,68,15,13.4,few clouds
83,Okhotsk,RU,59.3833,143.3,42.69,92,81,3.38,broken clouds
84,Miyang,CN,24.4042,103.4428,64.08,99,100,3.49,overcast clouds
85,Cidreira,BR,-30.1811,-50.2056,62.98,74,85,6.55,overcast clouds
86,Aklavik,CA,68.2191,-135.0107,65.44,38,19,5.37,few clouds
87,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,8.05,light rain
88,Guabito,PA,9.5,-82.6167,81.88,80,61,7.14,broken clouds
89,Tuatapere,NZ,-46.1333,167.6833,39.4,89,27,3.2,scattered clouds
90,Zhoucheng,CN,35.9122,116.3117,86.72,41,38,14.61,scattered clouds
91,Clyde River,CA,70.4692,-68.5914,30.43,100,100,31.07,light snow
92,Tual,ID,-5.6667,132.75,81.91,78,100,13.67,overcast clouds
93,Atuona,PF,-9.8,-139.0333,77.99,67,3,19.93,clear sky
94,Mehamn,NO,71.0357,27.8492,40.95,87,100,10.36,overcast clouds
95,Hasaki,JP,35.7333,140.8333,66.6,85,100,11.7,overcast clouds
96,Chaman,PK,30.9236,66.4512,83.8,7,0,8.39,clear sky
97,Bluff,NZ,-46.6,168.3333,35.8,70,71,2.93,broken clouds
98,Muisne,EC,0.6,-80.0333,77.29,81,90,12.97,overcast clouds
99,Port Alfred,ZA,-33.5906,26.891,57.56,67,100,11.36,overcast clouds
100,Torbay,CA,47.6666,-52.7314,65.17,66,20,11.5,few clouds
101,Georgetown,MY,5.4112,100.3354,82.33,93,20,5.01,thunderstorm
102,Salalah,OM,17.0151,54.0924,82.4,86,48,5.93,scattered clouds
103,Cabedelo,BR,-6.9811,-34.8339,83.07,73,14,9.08,few clouds
104,Cherskiy,RU,68.75,161.3,49.55,42,55,6.04,broken clouds
105,Tallahassee,US,30.4383,-84.2807,100.0,53,12,3.0,few clouds
106,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,37,0,20.71,clear sky
107,Qaqortoq,GL,60.7167,-46.0333,41.34,74,27,7.09,scattered clouds
108,Necochea,AR,-38.5473,-58.7368,52.47,68,0,5.61,clear sky
109,Jamestown,US,42.097,-79.2353,72.72,86,100,10.36,heavy intensity rain
110,Provideniya,RU,64.3833,-173.3,42.75,82,42,9.86,scattered clouds
111,Tiznit,MA,29.5833,-9.5,70.05,62,0,4.27,clear sky
112,Sabha,LY,27.0377,14.4283,84.09,19,0,8.3,clear sky
113,Poum,NC,-20.2333,164.0167,78.75,86,100,16.44,overcast clouds
114,Bhayavadar,IN,21.85,70.25,83.61,75,66,11.52,broken clouds
115,Carnarvon,AU,-24.8667,113.6333,71.58,77,100,7.38,light rain
116,Muncar,ID,-8.4333,114.3333,76.6,90,14,2.28,few clouds
117,Avarua,CK,-21.2078,-159.775,77.05,78,75,2.3,light rain
118,Cajati,BR,-24.7361,-48.1228,68.45,81,0,2.01,clear sky
119,Shingu,JP,33.7333,135.9833,69.24,93,100,4.63,light rain
120,Sisimiut,GL,66.9395,-53.6735,36.77,90,100,10.96,light rain
121,Atasu,KZ,48.6814,71.6433,60.73,54,11,7.11,few clouds
122,Prado,BR,-17.3411,-39.2208,71.13,64,1,6.71,clear sky
123,Klaksvik,FO,62.2266,-6.589,52.72,98,97,13.38,overcast clouds
124,Laguna,US,38.421,-121.4238,87.76,33,0,11.5,clear sky
125,Nyurba,RU,63.2842,118.3319,48.72,79,3,4.65,clear sky
126,Vaini,TO,-21.2,-175.2,73.56,88,75,6.91,broken clouds
127,Duku,NG,11.2361,4.9073,79.21,67,83,3.44,broken clouds
128,Suntar,RU,62.1444,117.6319,49.82,92,6,5.39,clear sky
129,Kaitangata,NZ,-46.2817,169.8464,37.63,88,39,2.95,scattered clouds
130,Jacareacanga,BR,-6.2222,-57.7528,90.14,45,28,3.76,scattered clouds
131,Fortuna,US,40.5982,-124.1573,60.98,73,100,5.75,overcast clouds
132,Yulara,AU,-25.2406,130.9889,57.09,48,31,5.88,scattered clouds
133,Chuy,UY,-33.6971,-53.4616,58.87,76,100,2.39,overcast clouds
134,Pangnirtung,CA,66.1451,-65.7125,39.2,75,75,14.97,broken clouds
135,Gilbues,BR,-9.8317,-45.3439,89.08,29,53,4.54,broken clouds
136,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,5.75,light rain
137,Port Elizabeth,ZA,-33.918,25.5701,59.09,68,0,14.97,clear sky
138,Bonga,ET,7.2833,36.2333,59.65,98,16,1.14,few clouds
139,Egvekinot,RU,66.3167,-179.1667,35.02,99,100,3.94,overcast clouds
140,Yima,CN,34.7381,111.8839,79.68,29,2,2.93,clear sky
141,Goderich,CA,43.7501,-81.7165,77.32,65,37,9.22,scattered clouds
142,Tando Muhammad Khan,PK,25.123,68.5358,84.04,73,2,19.46,clear sky
143,San Quintin,MX,30.4833,-115.95,72.52,56,1,9.53,clear sky
144,Razole,IN,16.4833,81.8333,83.43,78,100,4.72,light rain
145,Kavieng,PG,-2.5744,150.7967,81.07,77,64,13.18,broken clouds
146,Brooks,CA,50.5834,-111.8851,69.78,50,31,3.44,scattered clouds
147,Mount Gambier,AU,-37.8333,140.7667,46.17,97,100,3.58,overcast clouds
148,Cape Town,ZA,-33.9258,18.4232,61.12,63,0,3.0,clear sky
149,Kousseri,CM,12.0769,15.0306,90.66,37,24,5.93,light rain
150,Salas,ES,43.4118,-6.2602,69.96,92,100,3.51,overcast clouds
151,Bonavista,CA,48.6499,-53.1147,54.37,73,2,17.36,clear sky
152,Boliqueime,PT,37.1372,-8.1582,73.11,74,69,9.08,broken clouds
153,Butaritari,KI,3.0707,172.7902,82.17,75,18,14.29,light rain
154,Saskylakh,RU,71.9167,114.0833,48.54,57,31,12.26,scattered clouds
155,Meulaboh,ID,4.1363,96.1285,76.12,86,100,3.38,overcast clouds
156,Baruun-Urt,MN,46.6806,113.2792,64.27,65,100,2.57,moderate rain
157,Ulaangom,MN,49.9811,92.0667,59.97,68,97,3.85,overcast clouds
158,Verkhnevilyuysk,RU,63.4453,120.3167,48.76,77,3,4.27,clear sky
159,Burnie,AU,-41.0667,145.9167,47.95,80,100,6.33,overcast clouds
160,Moerai,PF,-22.4333,-151.3333,74.89,72,100,10.65,overcast clouds
161,Santa Cruz,BO,-17.8,-63.1667,87.26,39,20,27.63,few clouds
162,Okitipupa,NG,6.5047,4.7839,72.81,96,100,3.47,overcast clouds
163,Gat,IL,31.61,34.7642,77.4,100,0,8.03,clear sky
164,Komsomolskiy,UZ,40.4272,71.7189,74.12,53,100,9.22,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,49.68,70,52,9.44,broken clouds
166,Berlevag,NO,70.8578,29.0864,41.0,81,75,13.8,light rain
167,Cockburn Town,TC,21.4612,-71.1419,82.24,76,98,12.39,overcast clouds
168,Tautira,PF,-17.7333,-149.15,78.91,74,71,20.45,light rain
169,Ponta Do Sol,PT,32.6667,-17.1,72.01,75,60,9.42,broken clouds
170,Saint George,US,37.1041,-113.5841,101.43,7,0,8.05,clear sky
171,Celestun,MX,20.8667,-90.4,84.92,67,25,18.45,scattered clouds
172,Lazaro Cardenas,MX,17.9583,-102.2,78.08,85,100,12.64,overcast clouds
173,San Patricio,US,28.017,-97.5169,99.32,36,19,16.55,few clouds
174,Geraldton,AU,-28.7667,114.6,59.41,94,40,12.66,scattered clouds
175,Tokur,RU,53.1333,132.9,47.44,96,100,3.33,overcast clouds
176,Hofn,IS,64.2539,-15.2082,51.1,83,100,9.8,overcast clouds
177,Henties Bay,NA,-22.116,14.2845,58.39,79,0,1.77,clear sky
178,Kolosovka,RU,56.4678,73.611,52.86,92,100,7.2,overcast clouds
179,East London,ZA,-33.0153,27.9116,57.81,62,100,6.58,overcast clouds
180,Barranca,PE,-10.75,-77.7667,65.61,69,27,12.73,scattered clouds
181,Ulaanbaatar,MN,47.9077,106.8832,57.33,82,20,0.0,few clouds
182,La Mesa,US,32.7678,-117.0231,96.94,58,3,8.99,clear sky
183,Tiksi,RU,71.6872,128.8694,33.06,85,91,6.96,overcast clouds
184,Yuncheng,CN,35.0231,110.9928,78.12,31,0,5.61,clear sky
185,Bengkulu,ID,-3.8004,102.2655,76.46,86,100,3.8,light rain
186,Saint-Augustin,CA,51.226,-58.6502,64.44,63,79,10.11,broken clouds
187,Lorengau,PG,-2.0226,147.2712,81.79,77,100,10.2,overcast clouds
188,Honiara,SB,-9.4333,159.95,76.33,83,89,6.6,overcast clouds
189,Halifax,CA,44.6453,-63.5724,76.89,48,75,10.36,broken clouds
190,Salvador,SV,13.8333,-88.9167,75.06,82,100,2.55,overcast clouds
191,Porto De Moz,BR,-1.7483,-52.2383,84.76,61,67,0.45,broken clouds
192,Nouadhibou,MR,20.931,-17.0347,71.58,73,1,19.57,sand
193,Sinnamary,GF,5.3833,-52.95,81.16,74,100,5.95,moderate rain
194,Katsuura,JP,35.1333,140.3,71.51,92,100,16.04,overcast clouds
195,Kapaa,US,22.0752,-159.319,80.47,79,18,5.99,few clouds
196,Kruisfontein,ZA,-34.0033,24.7314,56.88,43,99,6.02,overcast clouds
197,Serenje,ZM,-13.2325,30.2352,57.36,54,3,5.32,clear sky
198,Sorland,NO,67.667,12.6934,48.06,81,99,5.88,overcast clouds
199,Kieta,PG,-6.2167,155.6333,78.19,84,100,3.02,light rain
200,Filingue,NE,14.3521,3.3168,89.28,37,49,5.03,scattered clouds
201,Opuwo,NA,-18.0607,13.84,60.49,31,0,3.96,clear sky
202,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,20,13.8,few clouds
203,Coquimbo,CL,-29.9533,-71.3436,58.73,77,40,12.66,scattered clouds
204,New Norfolk,AU,-42.7826,147.0587,42.91,89,96,2.8,overcast clouds
205,Hithadhoo,MV,-0.6,73.0833,82.18,72,100,12.1,overcast clouds
206,Victoria,HK,22.2855,114.1577,84.38,88,90,13.0,overcast clouds
207,Hirara,JP,24.8,125.2833,81.48,82,100,8.99,overcast clouds
208,Potiskum,NG,11.7091,11.0694,80.38,56,100,6.11,overcast clouds
209,Lagoa,PT,39.05,-27.9833,67.03,88,2,9.8,clear sky
210,Dwarka,IN,22.2394,68.9678,84.65,79,31,16.49,scattered clouds
211,Batemans Bay,AU,-35.7167,150.1833,53.1,74,80,4.27,broken clouds
212,Acapulco,MX,16.8634,-99.8901,79.9,81,100,5.17,overcast clouds
213,Batsfjord,NO,70.6345,29.7185,40.93,93,75,11.5,broken clouds
214,Guerrero Negro,MX,27.9769,-114.0611,77.11,44,0,14.47,clear sky
215,Ambilobe,MG,-13.2,49.05,68.49,92,25,3.29,light rain
216,Kongolo,CD,-5.3833,27.0,78.3,42,55,3.49,broken clouds
217,Vanavara,RU,60.34,102.2797,58.89,93,93,2.75,overcast clouds
218,Mikuni,JP,36.2171,136.1519,69.71,93,91,5.08,overcast clouds
219,Vao,NC,-22.6667,167.4833,76.15,84,100,21.32,moderate rain
220,Norman Wells,CA,65.282,-126.8329,62.64,42,20,11.5,few clouds
221,Souillac,MU,-20.5167,57.5167,73.78,73,20,11.5,few clouds
222,Inhambane,MZ,-23.865,35.3833,64.38,72,0,4.61,clear sky
223,Rodrigues Alves,BR,-7.738,-72.6509,89.8,58,79,2.17,broken clouds
224,Grand Gaube,MU,-20.0064,57.6608,73.8,70,0,5.01,clear sky
225,Atagay,RU,55.1033,99.3875,63.39,78,100,10.94,overcast clouds
226,Labuan,MY,5.2767,115.2417,80.96,83,20,0.0,few clouds
227,Tartagal,AR,-22.5164,-63.8013,69.96,39,64,4.61,broken clouds
228,Punta Alta,AR,-38.8759,-62.0736,55.89,53,0,13.49,clear sky
229,Weligama,LK,5.9667,80.4167,76.55,90,100,7.61,light rain
230,Rawson,AR,-43.3002,-65.1023,53.08,42,50,19.44,scattered clouds
231,Stokmarknes,NO,68.5646,14.9108,48.18,81,100,10.36,overcast clouds
232,San Joaquin,US,37.9333,-121.3011,84.27,26,0,9.91,clear sky
233,Pevek,RU,69.7008,170.3133,32.83,83,23,3.24,few clouds
234,Bundibugyo,UG,0.7414,30.0417,66.11,91,57,3.49,broken clouds
235,Beloha,MG,-25.1667,45.05,64.8,62,37,9.15,scattered clouds
236,Goure,NE,13.9835,10.2704,89.02,44,69,8.14,light rain
237,Martinez,US,38.0194,-122.1341,85.01,46,11,4.0,few clouds
238,Suclayin,PH,15.7568,121.5503,77.05,93,97,2.57,light rain
239,Smithers,CA,54.7804,-127.1743,57.52,77,100,4.61,light rain
240,Rio Cuarto,AR,-33.1307,-64.3499,59.67,31,0,10.6,clear sky
241,Crotone,IT,39.0851,17.1178,73.69,70,0,6.93,clear sky
242,Yichun,CN,47.7,128.9,56.41,98,100,1.16,overcast clouds
243,Paamiut,GL,61.994,-49.6678,39.15,67,77,6.42,broken clouds
244,Kirkwall,GB,58.9848,-2.9587,57.25,88,20,6.91,few clouds
245,Sudak,UA,44.85,34.9667,66.69,65,1,4.12,clear sky
246,Baykit,RU,61.67,96.37,60.1,93,41,3.74,scattered clouds
247,San Cristobal,VE,7.7669,-72.225,86.18,56,20,7.49,few clouds
248,Nola,IT,40.922,14.5329,76.03,74,13,1.68,few clouds
249,Lebu,CL,-37.6167,-73.65,51.08,79,46,9.06,scattered clouds
250,Tandil,AR,-37.3217,-59.1332,48.69,57,0,4.03,clear sky
251,Qasigiannguit,GL,68.8193,-51.1922,55.65,44,100,15.17,overcast clouds
252,Maragogi,BR,-9.0122,-35.2225,73.71,88,100,10.58,light rain
253,Yumen,CN,40.2833,97.2,73.33,26,98,7.2,overcast clouds
254,Conceicao Do Araguaia,BR,-8.2578,-49.2647,86.94,47,45,7.34,scattered clouds
255,Mayo,US,38.8876,-76.5119,86.94,74,99,4.0,overcast clouds
