City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-06-16 04:18:07,71.2906,-156.7887,37.42,87,0,10.36
1,Tasiilaq,GL,2022-06-16 04:18:08,65.6145,-37.6368,41.16,97,100,7.87
2,Rosarito,MX,2022-06-16 04:18:08,32.3333,-117.0333,64.47,75,7,2.21
3,Ribeira Grande,PT,2022-06-16 04:18:09,38.5167,-28.7,64.99,91,23,3.24
4,Vaini,TO,2022-06-16 04:18:10,-21.2,-175.2,78.96,78,75,6.91
5,Bluff,NZ,2022-06-16 04:18:10,-46.6,168.3333,47.8,71,99,22.37
6,Umm Lajj,SA,2022-06-16 04:17:19,25.0213,37.2685,81.72,68,0,7.67
7,Ust-Koksa,RU,2022-06-16 04:18:11,50.2696,85.6108,64.53,52,6,6.55
8,Dikson,RU,2022-06-16 04:18:11,73.5069,80.5464,35.46,87,70,6.78
9,Port Alfred,ZA,2022-06-16 04:18:12,-33.5906,26.891,47.17,74,32,5.01
10,Ahipara,NZ,2022-06-16 04:18:12,-35.1667,173.1667,60.1,69,1,6.98
11,Mataura,NZ,2022-06-16 04:18:13,-46.1927,168.8643,47.48,95,100,7.49
12,Tessalit,ML,2022-06-16 04:18:13,20.1986,1.0114,84.33,37,88,9.73
13,Rikitea,PF,2022-06-16 04:18:14,-23.1203,-134.9692,72.95,67,82,9.13
14,Nemuro,JP,2022-06-16 04:13:31,43.3236,145.575,53.31,99,100,16.28
15,Kayerkan,RU,2022-06-16 04:18:14,69.3497,87.7602,71.53,46,100,9.51
16,Hobart,AU,2022-06-16 04:17:17,-42.8794,147.3294,53.46,85,75,6.91
17,Torbay,CA,2022-06-16 04:18:15,47.6666,-52.7314,40.39,81,20,5.75
18,Bandarbeyla,SO,2022-06-16 04:18:15,9.4942,50.8122,81.1,65,96,22.62
19,Butaritari,KI,2022-06-16 04:18:16,3.0707,172.7902,82.54,71,24,12.82
20,Punta Arenas,CL,2022-06-16 04:18:17,-53.15,-70.9167,42.91,56,75,20.71
21,Nanortalik,GL,2022-06-16 04:18:17,60.1432,-45.2371,36.84,88,3,7.58
22,Cabo San Lucas,MX,2022-06-16 04:14:46,22.8909,-109.9124,87.1,70,43,12.88
23,Busselton,AU,2022-06-16 04:18:18,-33.65,115.3333,66.56,71,47,16.35
24,Portland,US,2022-06-16 04:15:36,45.5234,-122.6762,65.14,71,100,6.91
25,Puerto Ayora,EC,2022-06-16 04:18:18,-0.7393,-90.3518,70.56,94,13,3.0
26,Port Elizabeth,ZA,2022-06-16 04:18:19,-33.918,25.5701,47.1,85,20,6.91
27,Colares,PT,2022-06-16 04:18:19,38.7992,-9.4469,65.34,79,99,21.0
28,Provideniya,RU,2022-06-16 04:18:19,64.3833,-173.3,37.51,100,100,22.37
29,Kaitangata,NZ,2022-06-16 04:18:20,-46.2817,169.8464,46.02,89,100,12.53
30,Midyat,TR,2022-06-16 04:18:20,37.4247,41.3393,75.94,33,0,4.23
31,Qaanaaq,GL,2022-06-16 04:18:21,77.484,-69.3632,23.45,76,20,6.02
32,Osoyoos,CA,2022-06-16 04:14:05,49.0331,-119.4524,59.31,71,82,3.02
33,Albany,US,2022-06-16 04:18:22,42.6001,-73.9662,71.64,74,88,3.0
34,Kapaa,US,2022-06-16 04:18:22,22.0752,-159.319,82.38,88,75,19.57
35,New Norfolk,AU,2022-06-16 04:18:23,-42.7826,147.0587,53.1,68,48,1.25
36,Thompson,CA,2022-06-16 04:14:05,55.7435,-97.8558,59.16,77,75,2.3
37,Trairi,BR,2022-06-16 04:14:45,-3.2778,-39.2689,71.91,88,9,7.54
38,Yumen,CN,2022-06-16 04:18:24,40.2833,97.2,90.73,5,100,14.07
39,Upernavik,GL,2022-06-16 04:18:25,72.7868,-56.1549,29.66,70,100,5.84
40,Sembakung,ID,2022-06-16 04:18:25,3.8167,117.25,86.04,64,100,1.97
41,Talnakh,RU,2022-06-16 04:18:26,69.4865,88.3972,72.21,42,100,6.69
42,Ushuaia,AR,2022-06-16 04:13:56,-54.8,-68.3,46.06,49,75,11.5
43,Korla,CN,2022-06-16 04:19:26,41.7597,86.1469,93.04,15,59,15.35
44,Darnah,LY,2022-06-16 04:19:27,32.767,22.6367,73.18,77,0,10.78
45,Saint-Philippe,RE,2022-06-16 04:19:27,-21.3585,55.7679,71.19,80,74,16.71
46,Bredasdorp,ZA,2022-06-16 04:19:28,-34.5322,20.0403,44.31,81,40,3.83
47,Hailar,CN,2022-06-16 04:19:28,49.2,119.7,71.8,48,53,7.85
48,Aklavik,CA,2022-06-16 04:19:29,68.2191,-135.0107,60.42,36,8,13.49
49,Bethel,US,2022-06-16 04:19:29,41.3712,-73.414,66.29,85,75,1.01
50,Hilo,US,2022-06-16 04:19:30,19.7297,-155.09,80.33,76,20,5.75
51,Mattoon,US,2022-06-16 04:19:31,39.4831,-88.3728,84.15,65,0,14.5
52,Dhidhdhoo,MV,2022-06-16 04:19:31,6.8833,73.1,83.03,75,99,10.71
